出发地编号,出发城市,目的地编号,目的城市,迁徙量
211,焦作市,210,开封市,688
211,焦作市,209,濮阳市,200
211,焦作市,268,郑州市,9769
211,焦作市,155,许昌市,466
211,焦作市,153,洛阳市,2162
211,焦作市,215,鹤壁市,270
212,三门峡市,210,开封市,250
212,三门峡市,268,郑州市,2725
211,焦作市,308,周口市,476
210,开封市,214,信阳市,284
210,开封市,209,濮阳市,376
210,开封市,213,平顶山市,502
210,开封市,212,三门峡市,170
210,开封市,308,周口市,1845
212,三门峡市,211,焦作市,248
213,平顶山市,155,许昌市,4327
213,平顶山市,154,商丘市,371
213,平顶山市,1277,河南省直辖县级行政单位,101
214,信阳市,210,开封市,279
214,信阳市,211,焦作市,166
214,信阳市,155,许昌市,281
214,信阳市,153,洛阳市,364
214,信阳市,152,新乡市,242
214,信阳市,215,鹤壁市,47
214,信阳市,267,安阳市,814
212,三门峡市,309,南阳市,548
212,三门峡市,152,新乡市,289
212,三门峡市,154,商丘市,332
212,三门峡市,344,漯河市,113
212,三门峡市,215,鹤壁市,34
212,三门峡市,213,平顶山市,275
213,平顶山市,268,郑州市,8810
213,平顶山市,152,新乡市,360
213,平顶山市,211,焦作市,264
213,平顶山市,209,濮阳市,99
267,安阳市,309,南阳市,264
268,郑州市,210,开封市,19443
268,郑州市,215,鹤壁市,2393
268,郑州市,155,许昌市,13037
268,郑州市,153,洛阳市,14284
268,郑州市,214,信阳市,5137
268,郑州市,212,三门峡市,2716
1277,河南省直辖县级行政单位,309,南阳市,53
267,安阳市,153,洛阳市,432
267,安阳市,344,漯河市,124
267,安阳市,215,鹤壁市,4681
267,安阳市,268,郑州市,7167
267,安阳市,212,三门峡市,98
267,安阳市,211,焦作市,548
267,安阳市,210,开封市,521
267,安阳市,209,濮阳市,3702
209,濮阳市,267,安阳市,3721
209,濮阳市,344,漯河市,83
209,濮阳市,152,新乡市,1036
209,濮阳市,215,鹤壁市,455
209,濮阳市,213,平顶山市,82
209,濮阳市,212,三门峡市,53
209,濮阳市,211,焦作市,193
209,濮阳市,210,开封市,425
269,驻马店市,268,郑州市,7302
269,驻马店市,267,安阳市,168
268,郑州市,1277,河南省直辖县级行政单位,1331
269,驻马店市,309,南阳市,2167
269,驻马店市,210,开封市,387
269,驻马店市,213,平顶山市,1030
269,驻马店市,211,焦作市,381
269,驻马店市,215,鹤壁市,54
155,许昌市,308,周口市,1841
155,许昌市,1277,河南省直辖县级行政单位,44
155,许昌市,309,南阳市,692
155,许昌市,154,商丘市,456
308,周口市,213,平顶山市,686
308,周口市,211,焦作市,267
308,周口市,210,开封市,1788
308,周口市,154,商丘市,3326
308,周口市,215,鹤壁市,77
155,许昌市,153,洛阳市,798
154,商丘市,211,焦作市,568
154,商丘市,209,濮阳市,404
154,商丘市,267,安阳市,455
154,商丘市,215,鹤壁市,135
154,商丘市,214,信阳市,412
155,许昌市,211,焦作市,359
155,许昌市,152,新乡市,749
155,许昌市,214,信阳市,321
155,许昌市,210,开封市,1941
154,商丘市,309,南阳市,347
154,商丘市,308,周口市,3803
154,商丘市,1277,河南省直辖县级行政单位,93
1277,河南省直辖县级行政单位,308,周口市,45
1277,河南省直辖县级行政单位,213,平顶山市,100
1277,河南省直辖县级行政单位,212,三门峡市,73
1277,河南省直辖县级行政单位,211,焦作市,1520
1277,河南省直辖县级行政单位,209,濮阳市,32
1277,河南省直辖县级行政单位,214,信阳市,17
1277,河南省直辖县级行政单位,155,许昌市,69
1277,河南省直辖县级行政单位,154,商丘市,121
309,南阳市,213,平顶山市,2069
309,南阳市,212,三门峡市,371
309,南阳市,210,开封市,427
309,南阳市,209,濮阳市,105
309,南阳市,154,商丘市,384
152,新乡市,211,焦作市,3978
152,新乡市,209,濮阳市,1122
215,鹤壁市,1277,河南省直辖县级行政单位,34
152,新乡市,308,周口市,722
152,新乡市,344,漯河市,251
152,新乡市,214,信阳市,330
152,新乡市,213,平顶山市,389
214,信阳市,309,南阳市,793
215,鹤壁市,344,漯河市,51
215,鹤壁市,155,许昌市,115
215,鹤壁市,214,信阳市,66
215,鹤壁市,212,三门峡市,29
153,洛阳市,154,商丘市,627
153,洛阳市,344,漯河市,316
153,洛阳市,152,新乡市,945
153,洛阳市,214,信阳市,484
153,洛阳市,210,开封市,716
153,洛阳市,209,濮阳市,221
153,洛阳市,1277,河南省直辖县级行政单位,1032
344,漯河市,212,三门峡市,64
344,漯河市,213,平顶山市,2141
344,漯河市,154,商丘市,264
344,漯河市,268,郑州市,4228
344,漯河市,152,新乡市,240
344,漯河市,215,鹤壁市,68
344,漯河市,214,信阳市,377
344,漯河市,267,安阳市,131
344,漯河市,308,周口市,2322
211,焦作市,154,商丘市,783
211,焦作市,344,漯河市,268
211,焦作市,267,安阳市,647
211,焦作市,152,新乡市,4241
211,焦作市,214,信阳市,318
211,焦作市,213,平顶山市,346
211,焦作市,212,三门峡市,222
211,焦作市,1277,河南省直辖县级行政单位,1654
211,焦作市,309,南阳市,424
210,开封市,155,许昌市,2046
210,开封市,154,商丘市,3380
210,开封市,153,洛阳市,885
210,开封市,344,漯河市,304
210,开封市,152,新乡市,2075
210,开封市,215,鹤壁市,210
210,开封市,211,焦作市,612
210,开封市,268,郑州市,18059
210,开封市,267,安阳市,634
210,开封市,1277,河南省直辖县级行政单位,60
210,开封市,309,南阳市,590
212,三门峡市,267,安阳市,107
213,平顶山市,309,南阳市,2271
213,平顶山市,308,周口市,688
214,信阳市,154,商丘市,243
214,信阳市,344,漯河市,320
214,信阳市,213,平顶山市,965
214,信阳市,212,三门峡市,46
214,信阳市,209,濮阳市,94
214,信阳市,268,郑州市,4113
212,三门峡市,308,周口市,187
212,三门峡市,214,信阳市,88
212,三门峡市,209,濮阳市,39
212,三门峡市,155,许昌市,166
212,三门峡市,153,洛阳市,4015
213,平顶山市,267,安阳市,194
213,平顶山市,153,洛阳市,3120
213,平顶山市,344,漯河市,2032
213,平顶山市,215,鹤壁市,70
213,平顶山市,214,信阳市,875
213,平顶山市,212,三门峡市,245
213,平顶山市,210,开封市,607
212,三门峡市,1277,河南省直辖县级行政单位,53
268,郑州市,213,平顶山市,8866
268,郑州市,211,焦作市,8910
268,郑州市,209,濮阳市,3449
268,郑州市,154,商丘市,10134
268,郑州市,344,漯河市,4197
268,郑州市,152,新乡市,16691
268,郑州市,267,安阳市,7190
268,郑州市,309,南阳市,8204
268,郑州市,308,周口市,13184
267,安阳市,152,新乡市,4343
267,安阳市,214,信阳市,1070
267,安阳市,213,平顶山市,229
267,安阳市,155,许昌市,256
267,安阳市,154,商丘市,572
267,安阳市,308,周口市,279
267,安阳市,1277,河南省直辖县级行政单位,61
209,濮阳市,153,洛阳市,221
209,濮阳市,214,信阳市,89
209,濮阳市,154,商丘市,380
209,濮阳市,155,许昌市,122
209,濮阳市,268,郑州市,3690
209,濮阳市,1277,河南省直辖县级行政单位,35
209,濮阳市,309,南阳市,128
209,濮阳市,308,周口市,137
269,驻马店市,152,新乡市,343
269,驻马店市,214,信阳市,3553
269,驻马店市,344,漯河市,3015
269,驻马店市,212,三门峡市,96
269,驻马店市,209,濮阳市,75
269,驻马店市,155,许昌市,661
269,驻马店市,154,商丘市,346
269,驻马店市,153,洛阳市,523
269,驻马店市,308,周口市,2551
269,驻马店市,1277,河南省直辖县级行政单位,23
155,许昌市,212,三门峡市,135
155,许昌市,215,鹤壁市,87
155,许昌市,213,平顶山市,4413
155,许昌市,209,濮阳市,108
155,许昌市,344,漯河市,3060
155,许昌市,268,郑州市,13132
155,许昌市,267,安阳市,247
154,商丘市,213,平顶山市,400
154,商丘市,212,三门峡市,324
154,商丘市,210,开封市,3362
154,商丘市,155,许昌市,499
154,商丘市,153,洛阳市,693
154,商丘市,344,漯河市,283
154,商丘市,152,新乡市,1232
154,商丘市,268,郑州市,10675
309,南阳市,155,许昌市,699
309,南阳市,153,洛阳市,1281
309,南阳市,344,漯河市,416
309,南阳市,268,郑州市,7777
309,南阳市,267,安阳市,183
309,南阳市,152,新乡市,455
309,南阳市,215,鹤壁市,73
309,南阳市,214,信阳市,908
309,南阳市,211,焦作市,249
1277,河南省直辖县级行政单位,268,郑州市,1356
1277,河南省直辖县级行政单位,267,安阳市,46
1277,河南省直辖县级行政单位,153,洛阳市,1083
1277,河南省直辖县级行政单位,344,漯河市,17
1277,河南省直辖县级行政单位,152,新乡市,210
1277,河南省直辖县级行政单位,215,鹤壁市,25
1277,河南省直辖县级行政单位,210,开封市,92
309,南阳市,308,周口市,1119
309,南阳市,1277,河南省直辖县级行政单位,51
308,周口市,152,新乡市,533
308,周口市,155,许昌市,1805
308,周口市,153,洛阳市,727
308,周口市,344,漯河市,2316
308,周口市,214,信阳市,1694
308,周口市,212,三门峡市,112
308,周口市,267,安阳市,195
308,周口市,268,郑州市,13603
308,周口市,209,濮阳市,142
308,周口市,1277,河南省直辖县级行政单位,33
308,周口市,309,南阳市,1037
152,新乡市,210,开封市,1963
152,新乡市,268,郑州市,16305
152,新乡市,267,安阳市,4082
152,新乡市,155,许昌市,766
152,新乡市,154,商丘市,1329
152,新乡市,153,洛阳市,991
152,新乡市,215,鹤壁市,1558
152,新乡市,212,三门峡市,298
152,新乡市,309,南阳市,566
214,信阳市,1277,河南省直辖县级行政单位,21
215,鹤壁市,268,郑州市,2686
215,鹤壁市,267,安阳市,4678
214,信阳市,308,周口市,1422
215,鹤壁市,309,南阳市,84
215,鹤壁市,308,周口市,92
215,鹤壁市,152,新乡市,1758
215,鹤壁市,213,平顶山市,70
215,鹤壁市,211,焦作市,228
215,鹤壁市,153,洛阳市,129
215,鹤壁市,210,开封市,159
215,鹤壁市,209,濮阳市,551
215,鹤壁市,154,商丘市,131
153,洛阳市,212,三门峡市,3831
153,洛阳市,215,鹤壁市,153
153,洛阳市,213,平顶山市,3016
153,洛阳市,211,焦作市,2048
153,洛阳市,155,许昌市,865
153,洛阳市,267,安阳市,440
153,洛阳市,268,郑州市,13861
153,洛阳市,309,南阳市,1469
153,洛阳市,308,周口市,728
344,漯河市,211,焦作市,131
344,漯河市,210,开封市,295
344,漯河市,209,濮阳市,65
344,漯河市,155,许昌市,2998
344,漯河市,153,洛阳市,361
152,新乡市,1277,河南省直辖县级行政单位,243
344,漯河市,309,南阳市,450
344,漯河市,1277,河南省直辖县级行政单位,32
